40
100 0 100
100 0 80
80 0 80
80 0 100
100 0 -80
100 0 -100
80 0 -100
80 0 -80
-80 0 -100
-100 0 -100
-100 0 -80
-80 0 -80
-100 0 80
-100 0 100
-80 0 100
-80 0 80
100 100 100
100 100 80
80 100 80
80 100 100
100 100 -80
100 100 -100
80 100 -100
80 100 -80
-80 100 -100
-100 100 -100
-100 100 -80
-80 100 -80
-100 100 80
-100 100 100
-80 100 100
-80 100 80
80 120 100
80 120 -100
-100 120 -100
-100 120 100
100 260 100
100 260 -100
80 260 -100
80 260 100
56
1 2
2 3
3 4
4 1
5 6
6 7
7 8
8 5
9 10
10 11
11 12
12 9
13 14
14 15
15 16
16 13
2 18
3 19
4 20
18 19
19 20
5 21
7 23
8 24
23 24
24 21
9 25
10 26
11 27
12 28
27 28
28 25
13 29
14 30
15 31
16 32
31 32
32 29
18 21
23 25
27 29
31 20
33 34
34 35
35 36
36 33
10 35
14 36
37 38
38 39
39 40
40 37
37 1
38 6
39 34
40 33
